,time,latitude,longitude,depth,mag
271,2021-08-27T02:30:56.273Z,44.8948,147.4806,129.02,4.2
272,2021-08-27T04:04:11.763Z,37.3693,140.3184,103.86,4.3
273,2021-08-29T02:17:53.053Z,35.9253,143.1154,10.0,4.5
274,2021-08-31T00:34:28.163Z,30.9932,130.3913,165.49,4.3
275,2021-08-31T17:55:12.505Z,33.8182,135.3042,33.63,4.0
276,2021-08-31T20:21:10.397Z,42.5469,141.6087,106.81,3.9
277,2021-07-01T08:51:30.233Z,44.5795,147.4278,129.03,4.5
278,2021-07-02T01:48:08.389Z,41.4989,142.1589,62.09,4.2
279,2021-07-03T16:24:01.943Z,39.7542,142.049,59.74,4.3
280,2021-07-03T17:19:53.847Z,41.9113,142.5143,55.49,4.4
281,2021-07-03T19:06:08.822Z,38.6358,141.7642,70.23,4.2
282,2021-07-04T06:35:22.667Z,36.6471,141.0365,51.3,4.4
283,2021-07-04T16:22:41.468Z,40.4367,144.9976,10.0,4.3
284,2021-07-06T06:29:46.952Z,44.7187,141.9308,242.35,4.5
285,2021-07-06T14:19:00.804Z,30.3622,138.6493,443.14,4.1
286,2021-07-07T01:51:20.101Z,43.1623,144.1745,102.65,4.2
287,2021-07-07T13:49:43.507Z,42.8395,147.5647,10.0,4.3
288,2021-07-07T16:24:35.799Z,33.6982,132.2509,52.54,4.5
289,2021-07-07T17:02:32.572Z,37.206,134.9975,370.11,4.6
290,2021-07-07T19:03:53.981Z,31.9552,141.6984,10.0,4.2
291,2021-07-08T11:17:27.109Z,31.9596,143.6793,10.0,5.2
292,2021-07-09T07:47:14.982Z,43.3356,144.2396,144.6,4.1
293,2021-07-09T16:26:12.041Z,40.5044,141.8752,66.39,4.3
294,2021-07-09T20:23:44.792Z,37.2826,143.7541,19.07,5.3
295,2021-07-09T23:28:23.515Z,37.0674,143.8249,10.0,4.4
296,2021-07-12T13:48:29.406Z,32.0222,141.8193,10.0,4.7
297,2021-07-13T23:58:49.210Z,31.1049,141.5498,19.28,4.5
298,2021-07-15T11:12:09.170Z,39.8665,143.5958,11.74,4.6
299,2021-07-16T04:19:57.961Z,33.2825,139.5273,11.53,5.4
300,2021-07-16T04:30:02.295Z,33.2096,139.4151,10.0,4.2
301,2021-07-16T04:54:55.074Z,33.2742,139.4827,10.0,4.5
302,2021-07-16T05:51:42.590Z,33.2932,139.5494,10.0,4.4
303,2021-07-16T06:01:49.156Z,33.1046,139.3865,10.0,4.3
304,2021-07-16T11:50:39.278Z,33.1641,139.4569,18.25,4.3
305,2021-07-16T22:52:19.196Z,42.3657,144.3027,35.0,4.4
306,2021-07-17T04:27:41.318Z,33.7477,141.7963,10.0,4.2
307,2021-07-17T09:07:51.407Z,36.3146,137.6439,10.0,4.2
308,2021-07-17T11:49:59.304Z,33.6171,131.825,63.64,5.2
309,2021-07-17T16:21:38.130Z,37.5737,141.8193,51.25,4.3
310,2021-07-18T05:35:50.918Z,33.9999,133.8743,40.78,4.6
311,2021-07-18T09:50:08.836Z,36.9787,139.1938,10.0,4.6
312,2021-07-18T10:11:06.691Z,36.97,139.2056,10.0,4.5
313,2021-07-18T21:56:17.283Z,32.2432,141.7377,10.0,4.6
314,2021-07-19T10:23:16.819Z,37.4657,142.8409,10.0,4.0
315,2021-07-19T23:41:23.404Z,36.9628,142.3738,35.0,4.5
316,2021-07-20T06:56:22.549Z,33.6621,141.044,73.86,4.3
317,2021-07-23T08:06:13.324Z,30.4979,141.4301,10.0,4.3
318,2021-07-23T21:55:49.714Z,31.7581,139.6253,151.7,4.4
319,2021-07-26T02:16:15.813Z,41.4815,142.0615,55.88,5.2
320,2021-07-26T03:23:06.515Z,34.369,136.6864,368.25,4.2
321,2021-07-26T14:51:14.439Z,44.4619,148.1888,97.37,4.5
322,2021-07-26T20:19:22.539Z,37.3756,141.2536,92.47,4.6
323,2021-07-27T04:39:18.530Z,36.616,140.9679,46.82,4.6
324,2021-07-27T05:37:51.134Z,34.5615,136.619,353.89,4.4
325,2021-07-27T16:52:30.841Z,36.3686,140.0385,79.3,4.6
326,2021-07-28T18:19:52.455Z,35.3003,141.0774,37.55,4.5
327,2021-07-29T07:17:15.436Z,36.6841,141.5677,42.87,4.6
328,2021-07-30T04:05:12.738Z,40.1664,142.4207,40.48,4.5
329,2021-07-30T09:59:22.412Z,33.4784,141.15,35.0,4.2
330,2021-07-31T04:09:45.731Z,33.8647,134.5869,41.43,4.7
331,2021-07-31T05:26:05.128Z,43.3488,141.6214,167.77,5.0
332,2021-07-31T12:02:18.587Z,33.8656,141.9196,10.0,4.3
333,2021-06-01T04:43:06.666Z,40.1959,142.4964,37.68,4.8
334,2021-06-01T21:54:53.573Z,42.001,144.2792,25.05,4.6
335,2021-06-01T23:05:22.786Z,38.9493,142.1729,63.26,4.3
336,2021-06-02T03:36:19.136Z,30.8714,142.2203,10.0,4.5
337,2021-06-02T09:14:57.640Z,36.1168,141.7464,35.0,4.4
338,2021-06-02T16:12:24.039Z,30.5308,131.1152,39.85,4.5
339,2021-06-03T01:03:19.044Z,43.8613,147.4187,40.0,4.3
340,2021-06-04T05:41:17.767Z,32.0125,139.8917,127.23,4.4
341,2021-06-05T23:23:31.780Z,36.4003,142.701,10.0,4.3
342,2021-06-06T14:55:08.996Z,31.3015,131.6558,41.16,4.3
343,2021-06-06T15:59:22.299Z,37.6847,142.2248,46.18,4.5
344,2021-06-06T18:11:07.095Z,34.5639,140.2966,85.66,5.0
345,2021-06-07T02:11:32.633Z,42.8531,143.9664,65.62,4.4
346,2021-06-07T08:15:17.003Z,36.5225,141.7004,42.2,4.3
347,2021-06-07T16:14:04.194Z,30.9133,142.3077,10.0,4.2
348,2021-06-08T01:19:15.059Z,37.8148,141.8306,58.22,4.8
349,2021-06-08T15:29:01.059Z,36.4075,143.0603,10.0,5.3
350,2021-06-08T22:34:25.019Z,39.899,142.1931,44.11,4.9
351,2021-06-09T08:27:22.211Z,35.5577,139.7215,130.53,4.5
352,2021-06-09T13:05:55.860Z,40.1213,142.3654,42.51,5.0
353,2021-06-10T09:56:04.724Z,41.0007,142.2853,56.68,4.8
354,2021-06-10T11:35:47.164Z,42.1987,142.8435,76.14,4.6
355,2021-06-11T08:34:13.176Z,39.868,142.2289,35.91,4.1
356,2021-06-12T20:32:18.445Z,43.1589,141.611,161.91,4.4
357,2021-06-13T02:18:36.667Z,36.3754,143.1172,10.0,4.3
358,2021-06-13T11:58:23.775Z,40.9637,141.9169,66.01,4.0
